Tract_1,CIscore,Shape__Area,Shape__Length
6037432401,14,1528548.08984375,6810.53415122622
6037408629,10,2558458.41796875,7262.27085669688
6037404703,16,1916886.46484375,8673.88012442904
6037121900,13,2468412.296875,7415.59315001009
6037122410,17,1034868.9296875,4102.83121698365
6037123010,15,1487312.33203125,5031.35291314136
6037122420,15,1264083.22265625,4572.55262543019
6037123020,13,828087.0234375,3641.13794230324
6037123205,16,1110404.60546875,4256.15365111768
6037123203,16,858881.9296875,4708.22249095132
6037123204,14,475032.453125,2926.71133306731
6037123520,10,749335.13671875,4604.00900167111
6037123304,16,1287008.3515625,4954.5257038954
6037123303,13,928560.6015625,4813.17575345421
6037123410,16,725392.74609375,3504.10839016283
6037123301,14,1920161.2734375,6529.17366791782
6037900300,10,87470092.1132813,46389.0470782169
6037301300,7,1703575.14453125,7279.12987343094
6037301203,10,795784.73046875,3874.03527822846
6037700400,11,1919985.703125,7834.20484115626
6037127220,16,954920.4296875,3909.09372474999
6037702400,11,2928409.76171875,8872.79567681868
6037702801,12,1743258.45703125,5510.91111972259
6037186401,18,1408425.41796875,6585.0759013992
6037187102,16,3185259.421875,14141.1990434224
6037189300,8,2787694.046875,9468.55563776705
6037123420,14,1153855.234375,5438.59701974527
6037189902,17,533398.74609375,3161.47579784089
6037190301,18,592211.55859375,4441.85542508518
6037190520,19,356248.26171875,2435.70435952712
6037199700,20,1411980.3046875,5101.24878570034
6037190902,18,711898.33984375,3412.67129926678
6037191110,18,398984.41015625,2764.17201829393
6037191201,18,836720.234375,3667.1953881921
6037191204,17,294361.8828125,2181.80276107947
6037535804,16,715064.8828125,3554.99564625101
6037535803,16,616384.55859375,3169.63934147636
6037535502,15,682846.44921875,3339.19936130579
6037535701,13,1119629.1796875,4592.77061078393
6037535603,16,1147161.6875,5620.60026696126
6037535501,18,722850.08203125,4423.47318034412
6037535503,18,464931.0078125,2821.03861609634
6037535604,14,645404.97265625,3581.62911363076
6037535606,14,271977.76953125,2759.54440933239
6037535902,10,1477440.9375,4967.52349158615
6037535702,18,1422758.578125,4972.76439459885
6037535901,15,1225846.1875,4855.15560293284
6037551800,14,3229838.13671875,8625.06197498072
6037501700,11,2034978.83984375,6283.28430021038
6037190100,16,879196.796875,4056.27867499355
6037407200,13,2127709.65625,7775.31013705544
6037407701,15,1650547.19140625,5689.27269441429
6037407702,13,2908021.390625,8579.15649118892
6037402101,14,1743370.2109375,6499.23645241853
6037408135,8,1650289.77734375,6408.05162373471
6037408133,9,1532667.56640625,6770.50028185311
6037408202,12,15316431.2226563,24568.6336896599
6037407002,15,4447914.65234375,9089.68449583561
6037407102,12,1347686.91796875,5352.48029308176
6037407302,9,1175021.80078125,4508.74149440781
6037408301,14,3053575.62109375,8290.33973451574
6037407301,10,1441785.81640625,5619.60615558057
6037604100,11,1480951.3359375,5117.36652799665
6037601502,13,716980.6796875,4224.5172782371
6037603101,13,1286066.484375,4641.20041403997
6037603102,16,1084004.84375,4180.75591073011
6037603200,13,1647356.2421875,8054.46731083119
6037603301,15,1418165.41015625,5200.39685851275
6037603302,15,1657260.64453125,5606.57743486313
6037603702,8,3802287.40625,8056.37989640233
6037224420,20,524261.53125,3301.19413207592
6037224600,16,1053895.19140625,4122.97328200958
6037224700,15,925982.30859375,3980.0069172375
6037226410,17,409884.54296875,2611.69680692928
6037226420,17,623118.32421875,3232.35035420415
6037226700,18,1141569.10546875,4458.39832900589
6037227010,18,847927.1796875,4353.66196092679
6037650102,9,1236521.7265625,4933.6073361587
6037650200,10,3520394.05078125,11058.9928235498
6037650602,12,1808412.1953125,6841.83865407227
6037650502,6,1942045.64453125,5740.43653579248
6037650501,8,1451861.6640625,4999.17508933439
6037297202,12,834624.26953125,3663.84961701668
6037297201,9,585333.66015625,3036.07944028096
6037296902,10,712723.90234375,4393.58376843243
6037296901,12,894980.23046875,4162.41567237291
6037296402,7,1516911.0859375,6245.47612448423
6037296401,6,1428463.6875,5162.10244409518
6037294701,17,2535169.53515625,7259.27111513193
6037294421,14,967132.2734375,6038.40662241482
6037294302,15,1231240.02734375,5373.28700673537
6037102105,13,717766.39453125,3668.64599306472
6037101122,4,3891710.94140625,11660.8504287859
6037201602,16,1555864.48046875,6970.35341842213
6037201601,15,792364.99609375,4090.25859873427
6037195903,17,347785.94921875,2483.91822932504
6037195902,15,505933.5546875,3023.07778551591
6037195901,17,426760.33984375,3014.19140302418
6037195804,17,490396.5,2840.81947898397
6037195803,15,552602.46875,3321.02053834448
6037195202,11,1280400.9609375,5348.14464576549
6037195201,10,878832.09375,5070.89396151368
6037910404,10,3801090.18359375,7666.25850009724
6037910602,12,2932070.20703125,7883.94112319748
6037910706,9,31194197.390625,27488.3671695497
6037910707,11,9888803.11328125,12982.541090583
6037269000,9,3331758.21484375,10937.8526381248
6037269500,6,2034606.6875,6532.4025728719
6037269300,7,3225658.15625,7474.19766455903
6037269700,11,1317454.09765625,5434.9592055268
6037269800,10,677870.60546875,4426.5560599257
6037270100,14,836532.15625,4883.75778725822
